Source,Target,GoldsteinScale
REB,REB,7.0
REB,,2.8
,REB,1.9
,REB,1.9
,REB,7.0
REB,,7.0
REB,GOV,8.0
REB,,3.4
GOV,MIL,-0.4
,REB,3.4
REB,,1.0
BUS,,-0.4
REB,,2.8
GOV,,4.0
,REB,3.4
GOV,REB,8.0
,GOV,8.0
MIL,,-9.0
,GOV,-5.0
MIL,REB,1.0
GOV,,1.0
,GOV,7.0
MIL,,1.0
MIL,REB,8.0
MIL,,8.0
,REB,2.8
REB,,1.9
REB,,1.0
,REB,7.0
GOV,,0.0
GOV,REB,8.0
,REB,-4.0
MIL,,1.0
MIL,REB,1.0
CVL,REB,3.4
,REB,8.0
REB,,7.0
REB,,7.0
REB,,4.0
,REB,4.0
REB,,8.0
,REB,2.8
,REB,7.0
,GOV,2.8
REB,REB,1.0
GOV,,1.0
REB,REB,8.0
GOV,,1.9
GOV,GOV,1.0
,GOV,2.8
GOV,,1.9
REB,REB,8.0
REB,,0.0
,GOV,4.0
REB,REB,7.0
REB,REB,1.0
REB,,1.9
,,0.0
REB,,7.0
REB,,3.5
REB,,3.4
REB,,8.0
,MIL,7.4
,MIL,3.0
,REB,7.0
REB,GOV,4.0
GOV,REB,4.0
REB,,1.0
COP,,-2.0
,GOV,1.0
,BUS,6.0
,EDU,2.8
,COP,-5.0
REB,,7.0
REB,,8.0
REB,,3.4
REB,,3.5
REB,,-5.0
REB,,-10.0
GOV,REB,3.5
MIL,GOV,8.0
,REB,1.0
MIL,,1.0
MIL,REB,1.0
,REB,7.0
,GOV,8.0
REB,,7.0
,GOV,1.0
REB,GOV,3.5
GOV,,1.9
,REB,-4.0
REB,,3.0
REB,,1.0
,REB,2.8
REB,,1.9
REB,REB,7.0
,LEG,-10.0
REB,OPP,7.0
REB,MIL,0.0
COP,,-10.0
LEG,,-10.0
,REB,5.0
,CVL,4.0
CVL,,4.0
,REB,7.0
REB,,7.0
REB,REB,1.0
REB,REB,7.0
,GOV,-9.0
REB,,4.0
,REB,5.0
,REB,4.0
GOV,,4.0
GOV,,4.0
GOV,,3.0
,GOV,2.8
EDU,,4.0
,EDU,4.0
,MED,-10.0
REB,GOV,4.0
COP,,-5.0
GOV,REB,4.0
REB,REB,4.0
GOV,,1.0
,REB,2.8
REB,,1.9
,REB,0.0
GOV,REB,0.0
,GOV,1.9
GOV,,2.8
,REB,4.0
REB,,4.0
,REB,3.5
GOV,,8.0
REB,,0.0
REB,,1.9
,REB,8.0
,REB,4.0
GOV,REB,4.0
REB,,4.0
MED,,0.0
REB,,8.0
GOV,GOV,1.0
,MIL,1.0
MIL,,1.0
MIL,,8.0
MIL,REB,1.0
MIL,REB,8.0
REB,MIL,1.0
GOV,REB,8.0
REB,GOV,8.0
GOV,,8.0
,REB,2.8
,REB,0.4
REB,REB,8.3
REB,REB,2.8
REB,REB,1.0
REB,,1.0
REB,GOV,7.0
REB,GOV,5.2
REB,,5.2
GOV,REB,7.0
,REB,7.0
REB,REB,4.0
GOV,REB,7.0
REB,,1.0
REB,,5.2
EDU,,1.0
COP,,-9.0
MIL,REB,4.0
MIL,REB,2.8
REB,MIL,4.0
REB,MIL,1.9
,REB,1.0
REB,REB,3.4
REB,GOV,4.0
LEG,,1.0
HLH,,0.0
,GOV,8.0
,LEG,1.0
,REB,-5.0
,REB,1.0
GOV,,1.0
,GOV,1.0
,MIL,7.0
REB,,-4.0
,REB,4.0
,REB,4.0
REB,,-5.0
REB,,-5.0
,COP,4.0
EDU,,-0.4
GOV,REB,4.0
,REB,3.5
,CRM,4.0
REB,GOV,1.0
REB,GOV,4.0
,REB,4.0
GOV,REB,1.0
,REB,4.0
GOV,,1.9
CRM,,4.0
REB,,3.0
BUS,,-5.0
,GOV,3.0
,GOV,1.0
,GOV,8.0
,REB,1.0
MIL,REB,8.0
REB,GOV,4.0
HLH,,-10.0
BUS,,-4.0
,REB,2.8
REB,,4.0
REB,,4.0
REB,GOV,2.8
REB,GOV,8.0
,REB,4.0
REB,,1.9
,GOV,2.8
GOV,REB,5.2
REB,REB,3.0
GOV,,0.0
REB,GOV,7.0
,REB,-5.0
,REB,1.9
,REB,4.0
CVL,,-2.0
REB,,2.8
REB,,1.0
,GOV,4.0
GOV,,4.0
MED,,0.0
GOV,,3.0
,REB,4.0
,GOV,4.0
REB,,0.0
,REB,3.0
,REB,1.0
REB,,3.0
GOV,,-5.0
,REB,8.0
,REB,0.0
REB,,3.4
GOV,GOV,1.0
,GOV,3.5
GOV,REB,7.0
REB,,1.0
REB,,8.0
REB,,4.0
GOV,,7.0
GOV,REB,4.0
REB,GOV,4.0
REB,,4.0
GOV,REB,4.0
REB,REB,9.0
REB,GOV,4.0
GOV,REB,4.0
,GOV,1.0
GOV,,1.0
GOV,GOV,1.0
GOV,,3.5
GOV,REB,8.0
GOV,,1.0
REB,GOV,8.0
REB,,8.0
GOV,,8.0
,REB,7.0
CRM,,4.0
GOV,GOV,3.0
GOV,REB,7.0
,GOV,4.5
,GOV,4.0
,CVL,3.4
REB,,7.0
REB,GOV,7.0
EDU,,2.8
REB,REB,4.0
REB,GOV,3.4
,REB,7.0
REB,GOV,1.0
,GOV,8.0
GOV,,4.0
MIL,,1.0
REB,,-2.0
MIL,REB,9.0
,REB,3.5
REB,,3.5
REB,,8.0
GOV,,4.0
GOV,REB,4.0
,REB,0.4
,REB,0.0
REB,,1.9
REB,,0.0
,REB,2.8
REB,LEG,3.0
GOV,,8.0
MED,,1.9
,MED,2.8
REB,MIL,7.4
MIL,REB,7.4
,REB,2.8
MIL,,7.4
REB,,7.0
,REB,8.0
REB,MIL,8.0
REB,,7.0
GOV,REB,5.2
GOV,,-0.3
GOV,,-0.3
GOV,,3.4
,REB,4.0
,REB,3.4
REB,GOV,8.0
REB,,8.0
,REB,8.0
CVL,,0.4
REB,,3.0
GOV,REB,8.0
REB,,3.5
GOV,REB,1.9
GOV,,0.4
GOV,,4.0
REB,GOV,3.4
,REB,0.0
MIL,,7.0
REB,,4.0
,REB,7.0
REB,,1.9
REB,,-10.0
,REB,-10.0
,REB,0.0
,REB,0.0
GOV,,4.0
MIL,,-9.0
MIL,REB,8.0
MIL,REB,1.0
MIL,,8.0
MIL,,1.0
MIL,,1.0
,MIL,4.0
,GOV,4.0
GOV,,4.0
GOV,,3.4
,MIL,1.0
,GOV,4.0
GOV,,1.9
GOV,,7.0
REB,,3.4
REB,,4.0
REB,,3.0
,REB,4.0
REB,,8.0
REB,,4.0
,REB,8.0
LEG,REB,0.0
,REB,4.0
,GOV,3.4
GOV,,3.0
,REB,3.4
GOV,,-4.0
REB,GOV,3.4
GOV,REB,5.2
REB,GOV,4.0
,REB,3.4
BUS,,-5.0
GOV,REB,5.2
GOV,REB,5.2
,REB,3.4
CVL,,7.4
REB,GOV,4.0
GOV,REB,4.0
MED,,0.0
,REB,8.0
REB,,1.0
REB,,7.0
REB,,8.0
,GOV,1.0
GOV,,1.0
GOV,GOV,1.0
,GOV,4.0
GOV,,4.0
REB,GOV,1.0
GOV,REB,1.0
,REB,1.0
,GOV,4.0
GOV,REB,4.0
GOV,MIL,8.0
ELI,REB,1.9
,GOV,1.0
,REB,1.0
ELI,,1.9
,REB,2.8
,MIL,8.0
,ELI,2.8
,REB,-4.0
,GOV,4.0
REB,,1.0
REB,,8.0
,GOV,8.0
,REB,8.0
,MIL,-4.4
REB,JUD,1.9
,REB,8.0
,REB,4.0
JUD,REB,2.8
REB,GOV,8.0
REB,,8.0
REB,,4.0
GOV,,8.0
GOV,,4.0
,GOV,8.0
,GOV,4.0
,GOV,4.0
GOV,,4.0
REB,GOV,8.0
GOV,REB,8.0
LAB,,3.0
GOV,,4.0
LAB,,3.4
REB,,1.0
,REB,1.9
LEG,,0.0
GOV,,3.0
BUS,BUS,-5.0
REB,,2.8
,GOV,4.0
,,4.0
,,7.0
REB,REB,7.0
,,7.0
,REB,1.0
,,4.0
,GOV,-5.0
GOV,,6.0
,ELI,6.0
,REB,4.0
REB,GOV,-4.0
REB,,-9.5
REB,GOV,-4.0
REB,,5.0
REB,,-10.0
REB,GOV,1.0
GOV,REB,1.0
REB,ELI,2.8
REB,,1.9
MIL,GOV,8.0
MIL,,8.0
REB,,3.4
GOV,,8.0
GOV,,1.0
REB,,8.0
,REB,9.0
GOV,,3.0
BUS,,-5.0
REB,,4.0
REB,,-5.0
REB,REB,3.4
,COP,-5.0
,COP,-5.0
GOV,,-5.0
REB,GOV,4.0
REB,MIL,8.0
MIL,REB,8.0
,GOV,4.0
GOV,REB,4.0
,REB,0.0
CVL,,4.0
REB,GOV,4.0
GOV,REB,8.0
REB,GOV,8.0
GOV,,1.9
,REB,0.0
,MIL,-10.0
,GOV,2.8
REB,,4.0
REB,,4.0
,REB,4.0
REB,,2.8
,REB,1.9
,REB,0.0
,CVL,4.0
,REB,-4.4
,BUS,3.4
,REB,5.0
REB,,-10.0
,REB,-10.0
REB,GOV,4.0
GOV,REB,8.0
REB,,-10.0
GOV,,3.4
GOV,,4.0
REB,GOV,8.0
LEG,REB,4.0
GOV,,8.0
GOV,,0.0
,REB,4.0
REB,,3.4
GOV,REB,4.0
,GOV,8.0
,REB,3.4
,GOV,4.0
UAF,,-10.0
REB,,8.0
,GOV,1.0
REB,GOV,8.0
GOV,,7.0
REB,,3.0
COP,,-5.0
REB,GOV,3.0
,GOV,2.8
,REB,-4.0
GOV,,1.9
GOV,REB,4.0
,GOV,-4.0
,REB,2.8
GOV,REB,8.0
,REB,9.0
REB,,3.5
,CVL,-2.0
GOV,REB,8.0
REB,,3.4
GOV,,3.5
MNC,BUS,0.0
JUD,,1.0
